Force_Target_N,Force_Actual_N,Stress_N_per_cm2,Aspect_Ratio_b_a,muscle_b_cm,muscle_a_cm,Volume_cm3,Am,Rho,Initial_Length_cm,Prestretch_Final_Length_cm,Prestretch_Elongation_cm,Prestretch_Strain,Max_Length_cm,Min_Length_cm,ROM_cm,Contraction_Strain,Completed_Date
36,46.498341,2.99155309,6.8800,27.124317,3.942488,421.6,500,10.534,27.12431700000001,41.76337586629948,14.63905886629947,.539702,41.76337802206814,32.545644329530234,9.217733692537906,.339832,Fr 27. Feb 23:30:28 CET 2026
42,54.248064,3.49014524,6.8800,27.124317,3.942488,421.6,500,10.534,27.12431700000001,44.94976099462377,17.82544399462376,.657175,44.94976470611875,34.18425731545677,10.76550739066198,.396895,Fr 27. Feb 23:30:29 CET 2026
45,58.122926,3.73944135,6.8800,27.124317,3.942488,421.6,500,10.534,27.12431700000001,46.29378780852746,19.16947080852745,.706726,46.29379250307044,35.63081084240666,10.66298166066378,.393115,Fr 27. Feb 23:30:30 CET 2026
24,30.998894,1.99436873,6.8800,27.124317,3.942488,421.6,500,10.575,27.12431700000001,34.86779203476468,7.74347503476467,.285480,34.86779261415669,29.16609885605833,5.70169375809836,.210205,Fr 27. Feb 23:30:39 CET 2026
21,27.124032,1.74507262,6.8800,27.124317,3.942488,421.6,500,10.575,27.12431700000001,33.45813721660514,6.33382021660513,.233510,33.45813762117035,28.446698277674955,5.011439343495395,.184758,Fr 27. Feb 23:30:45 CET 2026
33,42.623479,2.74225698,6.8800,27.124317,3.942488,421.6,500,10.534,27.12431700000001,39.97815964686727,12.85384264686726,.473886,39.978161247842095,31.670691934179867,8.307469313662228,.306273,Fr 27. Feb 23:31:08 CET 2026
18,23.249170,1.49577651,6.8800,27.124317,3.942488,421.6,500,10.575,27.12431700000001,32.21190834837036,5.08759134837035,.187565,32.21190862909066,27.77365638903785,4.43825224005281,.163626,Fr 27. Feb 23:31:12 CET 2026
36,46.498341,2.99155309,6.8800,27.124317,3.942488,421.6,500,10.575,27.12431700000001,41.76337586629948,14.63905886629947,.539702,41.763378034346445,32.55520311878692,9.208174915559525,.339480,Fr 27. Feb 23:31:58 CET 2026
27,34.873755,2.24366477,6.8800,27.124317,3.942488,421.6,500,10.575,27.12431700000001,36.44699341047463,9.32267641047462,.343701,36.44699424183805,29.968665688892553,6.478328552945497,.238838,Fr 27. Feb 23:32:06 CET 2026
30,38.748617,2.49296088,6.8800,27.124317,3.942488,421.6,500,10.575,27.12431700000001,38.17273471728862,11.04841771728861,.407325,38.17273588415163,30.804195511582503,7.368540372569127,.271658,Fr 27. Feb 23:32:40 CET 2026
33,42.623479,2.74225698,6.8800,27.124317,3.942488,421.6,500,10.575,27.12431700000001,39.97815964686727,12.85384264686726,.473886,39.97816125741631,31.677973556334397,8.300187701081913,.306005,Fr 27. Feb 23:33:45 CET 2026
39,50.373202,3.24084913,6.8800,27.124317,3.942488,421.6,500,10.575,27.12431700000001,43.43696237761926,16.31264537761925,.601402,43.43696524591252,33.39857310799584,10.03839213791668,.370088,Fr 27. Feb 23:33:54 CET 2026
42,54.248064,3.49014524,6.8800,27.124317,3.942488,421.6,500,10.575,27.12431700000001,44.94976099462377,17.82544399462376,.657175,44.94976472688262,34.19812628150698,10.75163844537564,.396383,Fr 27. Feb 23:36:16 CET 2026
45,58.122926,3.73944135,6.8800,27.124317,3.942488,421.6,500,10.575,27.12431700000001,46.29378780852746,19.16947080852745,.706726,46.29379253604968,35.64199820215705,10.65179433389263,.392702,Fr 27. Feb 23:37:55 CET 2026
0,0,0,6.8800,27.124317,3.942488,421.6,500,10.616,27.12431700000001,27.12431700000001,0,0,27.124317037642882,24.667881294781367,2.456435742861515,.090562,Sa 28. Feb 00:24:54 CET 2026
3,3.874861,.24929604,6.8800,27.124317,3.942488,421.6,500,10.616,27.12431700000001,27.7691245194197,.64480751941969,.023772,27.76912457098108,25.101660543730233,2.667464027250847,.098342,Sa 28. Feb 00:24:54 CET 2026
15,19.374308,1.24648040,6.8800,27.124317,3.942488,421.6,500,10.616,27.12431700000001,31.11069336675871,3.98637636675870,.146966,31.110693563829805,27.15650919725777,3.954184366572035,.145780,Sa 28. Feb 00:25:00 CET 2026
