Force_Target_N,Force_Actual_N,force_rescaled_N,Aspect_Ratio_a_b,muscle_b_cm,muscle_a_cm,Volume_cm3,surface_area_cm2,traction_N_cm2,Am,Rho,Initial_Length_cm,Final_Length_cm,Elongation_cm,Strain
30,2.081435,1.7749247874962684,7.9533,29.876603,3.756504,421.6,14.111322302016001,0.1475010601736903,550,10.493,29.876603,30.28894011162211,0.412337111622114,0.013801
42,2.914009,2.4848947024947754,7.9533,29.876603,3.756504,421.6,14.111322302016001,0.20650148424316642,550,10.493,29.876603,30.460218918092743,0.583615918092743,0.019534
6,0.416287,0.3549849574992537,7.9533,29.876603,3.756504,421.6,14.111322302016001,0.02950021203473806,550,10.493,29.876603,29.957322130391947,0.080719130391947,0.002701
0,0.0,0.0,9.0267,32.507656,3.601278,421.6,12.969203233284002,0.0,550,10.493,32.507656,32.507656,0.0,0.0
45,3.122153,2.66238760761486,7.9533,29.876603,3.756504,421.6,14.111322302016001,0.22125162569307602,550,10.493,29.876603,30.503631330589105,0.627028330589105,0.020987
3,0.191297,0.17749236494884504,9.0267,32.507656,3.601278,421.6,12.969203233284002,0.014750096560215645,550,10.493,32.507656,32.551454151277156,0.043798151277156,0.001347
36,2.497722,2.1299097449955218,7.9533,29.876603,3.756504,421.6,14.111322302016001,0.17700127220842835,550,10.493,29.876603,30.374109765069797,0.497506765069797,0.016652
9,0.573891,0.5324770948465352,9.0267,32.507656,3.601278,421.6,12.969203233284002,0.04425028968064694,550,10.493,32.507656,32.639746532414755,0.132090532414755,0.004063
39,2.705866,2.3074026501156064,7.9533,29.876603,3.756504,421.6,14.111322302016001,0.19175141365833795,550,10.493,29.876603,30.417045991876684,0.540442991876684,0.018089
33,2.289579,1.9524176926163526,7.9533,29.876603,3.756504,421.6,14.111322302016001,0.16225120162359988,550,10.493,29.876603,30.331408665670217,0.454805665670214,0.015222
12,0.765188,0.7099694597953802,9.0267,32.507656,3.601278,421.6,12.969203233284002,0.05900038624086258,550,10.493,32.507656,32.684245161217916,0.176589161217916,0.005432
15,0.956485,0.8874618247442254,9.0267,32.507656,3.601278,421.6,12.969203233284002,0.07375048280107824,550,10.493,32.507656,32.728981533498306,0.221325533498306,0.006808
24,1.530377,1.4199398474273965,9.0267,32.507656,3.601278,421.6,12.969203233284002,0.11800084958746422,550,10.493,32.507656,32.864638671728585,0.356982671728585,0.010981
27,1.721674,1.5974322123762414,9.0267,32.507656,3.601278,421.6,12.969203233284002,0.13275094614767985,550,10.493,32.507656,32.910347551148114,0.402691551148114,0.012387
0,0.0,0.0,10.1,35.03594,3.468905,421.6,12.033301899025,0.0,550,10.493,35.03594,35.03593999999999,-1e-14,0.0
18,1.147783,1.0649551175297063,9.0267,32.507656,3.601278,421.6,12.969203233284002,0.08850065646703291,550,10.493,32.507656,32.77395795447577,0.26630195447577,0.008191
21,1.33908,1.2424474824785514,9.0267,32.507656,3.601278,421.6,12.969203233284002,0.10325075302724857,550,10.493,32.507656,32.81917619014383,0.31152019014383,0.009582
33,2.104269,1.9524178701105674,9.0267,32.507656,3.601278,421.6,12.969203233284002,0.16225121637385018,550,10.493,32.507656,33.00251379495345,0.49485779495345,0.015222
30,1.912971,1.7749245773250864,9.0267,32.507656,3.601278,421.6,12.969203233284002,0.1475010427078955,550,10.493,32.507656,32.956305028196056,0.448649028196056,0.013801
36,2.295566,2.1299102350594126,9.0267,32.507656,3.601278,421.6,12.969203233284002,0.17700131293406582,550,10.493,32.507656,33.04897537037898,0.54131937037898,0.016652
42,2.67816,2.484894964957103,9.0267,32.507656,3.601278,421.6,12.969203233284002,0.20650150605449713,550,10.493,32.507656,33.14266749167577,0.63501149167577,0.019534
3,0.177492,0.177492,10.1,35.03594,3.468905,421.6,12.033301899025,0.014750066231977553,550,10.493,35.03594,35.083144345301385,0.047204345301385,0.001347
45,2.869457,2.6623873299059477,9.0267,32.507656,3.601278,421.6,12.969203233284002,0.22125160261471277,550,10.493,32.507656,33.18990271781482,0.68224671781482,0.020987
6,0.354985,0.354985,10.1,35.03594,3.468905,421.6,12.033301899025,0.029500215566665263,550,10.493,35.03594,35.13059841778905,0.09465841778905,0.002701
39,2.486863,2.307402600008258,9.0267,32.507656,3.601278,421.6,12.969203233284002,0.1917514094942815,550,10.493,32.507656,33.095692472903515,0.588036472903515,0.018089
12,0.70997,0.70997,10.1,35.03594,3.468905,421.6,12.033301899025,0.059000431133330526,550,10.493,35.03594,35.22626337425374,0.19032337425374,0.005432
9,0.532477,0.532477,10.1,35.03594,3.468905,421.6,12.033301899025,0.044250281798642814,550,10.493,35.03594,35.17830395323753,0.14236395323753,0.004063
15,0.887462,0.8874619999999999,10.1,35.03594,3.468905,421.6,12.033301899025,0.07375049736530807,550,10.493,35.03594,35.27447921660677,0.23853921660677,0.006808
24,1.41994,1.41994,10.1,35.03594,3.468905,421.6,12.033301899025,0.11800086226666105,550,10.493,35.03594,35.42068710066062,0.38474710066062,0.010981
0,0.0,0.0,6.88,27.840773,4.046624,455.9,16.375165797376003,0.0,550,10.493,27.840773,27.84077300000001,1e-14,0.0
